Part No	Description	Bin Location 1	Stock	Last Receipt	Av Cost
30531AA132	LEVER-CLUTCH REL	g7	1	17-09-24 12:26	235.08
30531AA180	LEVER-CLUTCH REL	g7	1	25-04-25 14:52	337.85
30539AA000	CLIP	g7	1	17-09-24 12:26	9.2
3093	BRAKE FLUID 500ml	LUBRICANT	29	24-04-25 14:50	76.93
312518	DIFFER BEARING	G5	1	01-07-24 8:24	0.01
325204	SCREW	G5	2	07-07-22 9:50	0.01
3333	BRAKE & PARTS CLEANER	WORKSHOP	1	23-06-25 12:28	3992.39
3374428	RADICOOL SF 12X1L	E2	3	25-06-25 13:45	127.64
3397006835	W/BLADE A/TWIN 22"	hang	2	01-07-24 8:24	0.01
3397008530	16" AEROTWIN BLADE	hang	3	08-08-23 14:04	0.01
3426547	TRANSMAX AXLE LL 75	LUBRICANT	1	19-09-24 15:56	303.14
3426632	CASTROL DEXRON VI (	LUBRICANT	6	30-05-24 13:45	248.98
3510010CRV0000	BRAKE DISCFR	G1	2	17-01-25 8:46	1339.15
3510010DSV0000	BRAKE DISC FR	G1	2	17-01-25 8:46	1546.2
3520006CRV0000	BRAKE DISCREAR	G1	2	17-01-25 8:46	1391.19
3520006DSV0000	BRAKE DISC RR	G1	2	17-01-25 8:46	1283.02
362230	SELF LOCKG NUT	G5	4	17-07-23 9:45	13.25
364813	SCREW WITH BASE (W)	G5	7	07-07-22 9:50	0.01
3648899	SPARK PLUG PKG-.	E1	7	07-07-22 9:50	0.01
3651	TOPTEC ATF 1100 1LT	LUBRICANT	7	06-11-24 12:12	136.16
3662	CVT OIL TOPTEC 1400 1LT	LUBRICANT	22	12-12-24 15:22	260.39
373933	HUB FIXING NUT	G5	5	19-08-24 16:12	205.78
374046	WHEEL HUB PLUG	G5	3	06-05-25 14:33	84.69
39030321	ELEMENT-A/CL CRUZE-1	E3	1	24-06-25 11:03	367.54
39090003	RESISTOR-FAN MOTOR	E5	2	07-07-22 9:50	0.01
39090004	HSNG- ASSY.- WITH FAN MOTOR- LOWER	E5	1	07-07-22 9:50	0.01
39187023	ADAPTER 13 PIN TO 7	E5	2	07-07-22 9:50	0.01
42052FL610	BRKT PUMP	g7	1	10-04-25 9:44	1254.04
42052SG120	BRKT PUMP	g7	3	03-10-24 13:57	1318.35
42072AA121	FILTER ASSY TANK SUB	g7	1	20-05-25 9:24	77.79
42386928	AIR FILTER	E3	6	24-06-25 10:30	142.88
42403118	LAMP ASM-B/U	WORKSHOP	1	08-08-23 14:04	0.01
4249J6	BRAKE DISC	G5	1	30-05-25 12:57	1314.85
42686719	SENSOR ASM-RR WHL SP	E5	1	01-07-24 8:24	0.01
4434	75W90- 1 LITER GEAR OIL	LUBRICANT	33	16-05-25 11:37	259.54
4601P2	MASTER CYLINDER	G5	1	07-07-22 9:50	0.01
46308326	BOOT	JACQUES	1	03-03-25 10:28	197.99
46328396	PLUG	E7	3	23-12-24 14:32	144.57
46328660	FLAT WASHER	E7	6	27-11-24 15:07	4.09
46329020	SEALING GASKET	E7	9	04-04-25 16:24	80.17
46329021	PIPE	E7	1	04-04-25 16:24	2391.6
46343218	OIL FILTER	E7	3	30-06-25 14:50	425.38
46344791	SPARK PLUG	E7	3	06-03-25 11:18	294.58
46344792	SPARK PLUG	E7	8	25-06-25 15:32	265.94
46347171	OIL FILTER	E7	2	30-06-25 14:50	148.22
46347517	LMBDA PROBE	E7	4	25-02-25 9:47	796.73
46352316	TIMING BELT	E9	1	02-12-24 14:59	182.71
46403659	TIMING BELT	E7	1	16-01-25 15:10	385.24
46403960	BRAKE DISC	JACQUES	1	06-06-25 8:34	875.08
46543812	BUSHING	ALLAN	3	18-03-25 16:35	89.06
46796687	OIL FILTER	E7	1	30-06-25 14:43	157.5
46823509	PLUG	E7	9	28-10-24 11:04	67.17
46823518	SEALING GASKET	E7	10	26-11-24 9:24	71.2
4X22	O-RING	E1	5	07-07-22 9:50	0.01
5006340IE	DELO 400MGX	LUBRICANT	4	08-08-23 14:04	0.01
500MLBC	KAPCI 500ML	JASON	1	24-06-25 14:17	275
501	GLOBE	E1	1	17-04-25 11:12	3.03
503615	HEXAGONAL NUT	G5	7	28-11-22 12:51	54.23
504076915	TIMING BELT	E7	1	21-05-25 14:50	709.82
504312565	PIPE	(Blanks)	1	30-06-25 11:32	1377.9
510-0073-10	csc ope	WORKSHOP	1	01-07-24 8:24	0.01
51723323	WINDOW REGULATOR	JACQUES	1	04-02-25 9:08	548.02
51723324	WINDOW REGULATOR	JACQUES	1	20-12-24 15:25	708.99
51736821	RESISTOR	JACQUES	1	20-12-24 15:25	1154.36
51806865	FILTERING ELEMENT	E7	2	14-04-25 16:20	176.25
51830174	FILTERING ELEMENT	E7	1	04-03-25 10:59	398.44
51864555	STRIKER PLATE	JACQUES	2	24-06-25 11:17	271.42
51881024	FILTERING ELEMENT	E7	2	22-04-25 15:05	166.84
51977574	FILTERING ELEMENT	E7	8	16-04-25 14:56	273.42
52009108	CROSSRAIL	[Unknown]	1	30-06-25 14:51	1307.98
52017097	TANK	JACQUES	1	22-04-25 15:04	380.21
52022378AB	FILTERING ELEMENT AIR	E7	1	14-01-25 10:29	854.41
52028898AJ	THERMOSTAT NONE	E7	1	28-10-24 9:30	1127.56
52028974AA	PLUG RADIATOR	E7	1	28-10-24 9:31	549.07
52034852	PIN	ALLAN	6	05-05-25 9:17	5.59
52074645	CUP-FRT S/D A/RST P	E5	1	07-07-22 9:50	0.01
52076549	WINDOW REGULATOR	JACQUES	1	10-06-25 15:02	963.89
52081087	BEARING-FRT WHL TB-17	E5	1	08-05-25 9:03	6598.85
52108325AA	FILTER TRANSMISSION OIL	E8	1	26-05-25 8:50	792.94
52108332AA	SEALING GASKET OIL PAN	E9	8	19-03-25 8:04	576.26
52118392	ABSORBER-RR SHK TB-1	WORKSHOP	1	08-08-23 14:04	0.01
52125003AD	SENSOR WHEEL SPEED	E7	1	10-06-25 15:01	307.06
52130990	SOCKET RR FASCIA SIG	E5	1	07-07-22 9:50	0.01
53013736AA	RING HEATER LINE	E7	4	30-06-25 14:42	14.18
53020547AC	SEALING GASKET THERMOSTAT	E7	3	14-01-25 10:25	79.35
53021536AC	COVER THERMOSTAT	E7	1	30-06-25 14:42	95.66
53022142AB	SEAL PCV	ALLAN	4	30-06-25 14:42	61.9
53022143AB	SEAL INTAKE MANIFOLD	NO - BIN	8	30-06-25 14:42	51.43
5416R4	WHEEL CAP	G5	1	07-07-22 9:50	0.01
55078105AC	TAIL LAMP REAR FOG	grant	1	01-04-25 9:57	2404.45
55111074AC	PLUG COOLANT RECOVERY BOTTLE	E8	1	01-04-25 9:52	437.58
55111395AE	FLEX. HOSE RADIATOR OUTLET	[Unknown]	1	25-06-25 15:17	1355.29
55157088AC	MAKE MEDALLION JEEP	ALLAN	1	16-05-25 16:23	879.19
55182787	PLUG	E7	1	04-03-25 10:45	67.55
55184773	PLUG	E7	7	28-10-24 11:04	126.38
55188857	SPARK PLUG	E7	6	28-10-24 11:04	145.93
55190069	OPEL CORSA ECU	WORKSHOP	1	01-10-24 9:00	5800
55190788	SPARK PLUG	E7	6	11-03-25 8:53	223.38
55192670	BIG END SHELLS	E7	1	13-05-25 12:02	51.79
55195776	SPARK PLUG CABLE	E7	1	25-03-25 8:46	471.46
55196309	SEALING GASKET	E7	9	17-12-24 16:10	10.41
55202176	THERMOSTAT	NO-BIN	1	30-06-25 14:44	345.12
55224598	OIL FILTER	E7	5	06-03-25 11:32	292.44
55224611	PLUG	E7	5	27-03-25 15:22	84.61
55226083	SPARK PLUG	E7	16	02-12-24 14:54	86.01
55238657	SEALING GASKET	willem	1	30-06-25 11:39	489.12
55239505	SEALING GASKET	E7	5	08-04-25 8:48	47.68
55244790	OIL SUMP	(Blanks)	1	30-06-25 11:32	1164.31
55249822	TRANS BELT	E9	1	02-12-24 14:57	176.36
55249877	LMBDA PROBE	E7	1	25-06-25 15:32	1200.13
55250936	SHAFT	E8	1	04-04-25 16:24	451.42
55259565	SPARK PLUG	E7	10	13-03-25 14:08	190.04
55270414	LMBDA PROBE	E7	1	25-06-25 15:32	651.33
55280713	PLUG	E7	9	14-11-24 14:11	34.18
