Part No,Description,Bin Location 1,Stock,Last Receipt,Av Cost
1BP00330AA,BRAKE    PAD-SET REAR DISC BRAKE,NO - BIN,1,24-04-2025 14:27:18,3731.53
2000034400,REPAIR SHOP'S FIXT,NO-BIN,1,02-05-2025 14:59:08,1009.71
2010005BSV0000,AIR FILTER ELEMENT,G1,2,17-01-2025 08:46:29,253.52
20204AG011,RUB BUSH ARM F R,g7,2,25-04-2025 14:59:22,333.47
20204AJ000,RUB BUSH ARM F F,g7,2,19-09-2024 12:05:58,218.35
20204AJ020,RUB BUSH ARM F R,g7,2,23-08-2023 15:58:14,212.02
20204XA00B9E,RUB BUSH ARM F R,g7,2,08-08-2023 14:04:06,0.01
20206AJ000,BALL JOINT COMPL,g7,2,25-04-2025 14:59:22,380.5
20-3187-01-2B,SO4 HEADLAMP RH,WORKSHOP,1,13-11-2024 08:31:32,910
20-3188-01-2B,SO4 HEADLAMP LH,WORKSHOP,1,13-11-2024 08:31:32,910
203708,FLYWHEEL SCREW,G5,24,11-04-2024 09:04:10,29.72
20914318,FRAME-WSW TRANS(LINKAGE ASSY.),E5,1,07-07-2022 09:50:44,0.01
2102,REAR TAILLAMP GLOBS,G1,1,16-01-2025 14:25:18,300
22401AA570,PLUG-SPARK,g7,4,09-01-2025 13:12:34,283.78
22401AA670,PLUG-SPARK,g7,10,08-07-2022 12:44:52,255.25
22401AA700,PLUG-SPARK,g7,10,08-08-2023 14:04:06,0.01
22401AA751,PLUG-SPARK,g7,2,08-08-2023 14:04:06,0.01
22401AA781,PLUG-SPARK,g7,8,21-11-2024 14:34:26,424.85
22401AA801,PLUG-SPARK,g7,10,08-08-2023 14:04:06,0.01
22401AA880,PLUG-SPARK,g7,8,13-03-2025 13:42:34,424.85
22401KA210,PLUG-SPARK,g7,4,09-12-2024 14:55:35,63.4
22745824,ELEMENT ASM-A/CL,E3,1,06-02-2024 09:35:14,469.79
22753219,FILTER-PASS COMPT AIR -C140 -11,E3,1,19-12-2024 15:14:00,653.38
2327,Leichtlauf High Tech 5W40 Synthetic Oil,F6,3,09-12-2024 14:51:48,96.21
2328,HIGH TECH 5W 40 OIL 5L,LUBRICANT,3,06-11-2024 12:12:29,484.47
24000053,GAC Motorcool Guard,LUBRICANT,20,08-04-2025 08:57:05,67.26
24000054,GAC Motor Stop Guard,LUBRICANT,20,08-04-2025 08:57:05,76.46
242229699,SPARK PLUG,E1,1,01-07-2024 08:24:19,0.01
24271971,PLATE-3-5 REV CLU APPLY,E5,3,07-07-2022 09:50:44,0.01
24301443,CLUTCH PLATE,E5,2,07-07-2022 09:50:44,0.01
24436052,PULLEY ASM-TMG BELT IDLER CRUZE-17/MULTI,E5,1,13-11-2024 14:53:58,445.89
24438034,RETAINER,E5,1,07-07-2022 09:50:44,0.01
24445245,CLAMP-RAD SURGE TK INL CRUZE-18/MULTI,E5,4,08-08-2023 14:04:06,0.01
24591047,BELT - TIMING,E5,2,31-10-2023 14:48:04,1651.03
25182776,BELT,E5,1,01-07-2024 08:24:19,0.01
25189435,CABLE ASM-M/TRNS SHFT LVR,E5,1,07-07-2022 09:50:44,0.01
